sentence_number,word,tag
1,como,OTHER
1,usar,OTHER
1,lucros,OTHER
1,e,OTHER
1,reinvestir,INVEST
1,sem,NEG-Q
1,ser,OTHER
1,esmagado,NEG-Q
1,por,OTHER
1,impostos,TAX
2,como,OTHER
2,fazer,OTHER
2,boas,OTHER
2,escolhas,CHOICE
2,de,OTHER
2,ações,STOCK
2,se,OTHER
2,resultados,OTHER
2,passados,OTHER
2,não,OTHER
2,são,OTHER
2,bons,OTHER
2,indicadores,OTHER
2,de,OTHER
2,sucesso,OTHER
2,futuro,OTHER
2,e,OTHER
2,se,OTHER
2,isso,OTHER
2,é,OTHER
2,verdade,OTHER
2,não,OTHER
2,implica,OTHER
2,que,OTHER
2,análise,FUNDAMENTAL-ANALYSIS
2,fundamental,FUNDAMENTAL-ANALYSIS
2,é,OTHER
2,irrelevante,OTHER
3,o,OTHER
3,que,OTHER
3,é,OTHER
3,compra,OTHER
3,a,OTHER
3,seco,OTHER
4,que,OTHER
4,eventos,OTHER
4,mais,OTHER
4,afetam,OTHER
4,os,OTHER
4,preços,PRICE
4,das,OTHER
4,ações,STOCK
5,quais,OTHER
5,são,OTHER
5,os,OTHER
5,melhores,POS-Q
5,recursos,OTHER
5,para,OTHER
5,aprender,OTHER
5,sobre,OTHER
5,investimento,INVEST
5,em,OTHER
5,títulos,OTHER
6,o,OTHER
6,que,OTHER
6,são,OTHER
6,etfs,ETF
7,é,OTHER
7,melhor,OTHER
7,usar,OTHER
7,etfs,ETF
7,ou,OTHER
7,ações,STOCK
7,individuais,OTHER
8,o,OTHER
8,que,OTHER
8,são,OTHER
8,covered,COVERED-CALL
8,calls,COVERED-CALL
9,por,OTHER
9,que,OTHER
9,mais,OTHER
9,pessoas,OTHER
9,não,OTHER
9,usam,OTHER
9,covered,COVERED-CALL
9,calls,COVERED-CALL
10,como,OTHER
10,manter,OTHER
10,proporções,OTHER
10,em,OTHER
10,um,OTHER
10,portfólio,PORTFOLIO
11,quais,OTHER
11,são,OTHER
11,alguns,OTHER
11,bons,POS-Q
11,investimentos,INVEST
11,em,OTHER
11,renda,FIXED-INCOME
11,fixa,FIXED-INCOME
12,quais,OTHER
12,são,OTHER
12,as,OTHER
12,melhores,POS-Q
12,rendas,PASSIVE-INCOME
12,passivas,PASSIVE-INCOME
12,para,OTHER
12,quem,OTHER
12,está,OTHER
12,começando,OTHER
12,a,OTHER
12,investir,INVEST
13,qual,OTHER
13,é,OTHER
13,o,OTHER
13,passo,OTHER
13,a,OTHER
13,passo,OTHER
13,para,OTHER
13,investir,INVEST
13,na,OTHER
13,renda,FIXED-INCOME
13,fixa,FIXED-INCOME
14,compensa,OTHER
14,investir,INVEST
14,grande,OTHER
14,quantidade,OTHER
14,em,OTHER
14,renda,FIXED-INCOME
14,fixa,FIXED-INCOME
15,como,OTHER
15,investir,INVEST
15,em,OTHER
15,uma,OTHER
15,renda,FIXED-INCOME
15,fixa,FIXED-INCOME
16,o,OTHER
16,que,OTHER
16,são,OTHER
16,investimento,INVEST
16,de,OTHER
16,renda,FIXED-INCOME
16,fixa,FIXED-INCOME
16,e,OTHER
16,variável,VARIABLE-INCOME
17,quanto,OTHER
17,dinheiro,MONEY
17,uma,OTHER
17,pessoa,OTHER
17,precisa,OTHER
17,conseguir,OTHER
17,investir,INVEST
17,para,OTHER
17,parar,OTHER
17,de,OTHER
17,trabalhar,OTHER
17,e,OTHER
17,viver,OTHER
17,apenas,OTHER
17,do,OTHER
17,rendimento,INCOME
17,de,OTHER
17,seus,OTHER
17,investimentos,INVEST
18,qual,OTHER
18,é,OTHER
18,o,OTHER
18,melhor,POS-Q
18,investimento,INVEST
18,para,OTHER
18,quem,OTHER
18,tem,OTHER
18,pouco,LOW
18,dinheiro,MONEY
19,se,OTHER
19,os,OTHER
19,melhores,POS-Q
19,investimentos,INVEST
19,obtém,OTHER
19,apenas,OTHER
19,10,OTHER
19,15%,OTHER
19,de,OTHER
19,rendimento,OTHER
19,por,OTHER
19,ano,OTHER
19,como,OTHER
19,as,OTHER
19,pessoas,OTHER
19,ficam,OTHER
19,ricas,OTHER
19,ao,OTHER
19,investir,INVEST
20,é,OTHER
20,possível,OTHER
20,parar,OTHER
20,de,OTHER
20,trabalhar,OTHER
20,e,OTHER
20,viver,OTHER
20,de,OTHER
20,renda,INCOME
20,investindo,INVEST
20,2.5,OTHER
20,milhões,OTHER
21,que,OTHER
21,investimentos,INVEST
21,são,OTHER
21,na,OTHER
21,verdade,OTHER
21,apenas,OTHER
21,um,OTHER
21,desperdício,NEG-Q
21,de,OTHER
21,dinheiro,MONEY
22,como,OTHER
22,fazer,OTHER
22,meu,OTHER
22,dinheiro,MONEY
22,render,OTHER
22,agora,OTHER
22,de,OTHER
22,maneira,OTHER
22,prática,OTHER
23,qual,OTHER
23,o,OTHER
23,melhor,OTHER
23,método,OTHER
23,para,OTHER
23,não,OTHER
23,deixar,OTHER
23,o,OTHER
23,dinheiro,MONEY
23,parado,OTHER
23,a,OTHER
23,longo,OTHER
23,prazo,OTHER
23,mesmo,OTHER
23,que,OTHER
23,não,OTHER
23,tenha,OTHER
23,grande,OTHER
23,rendimento,INCOME
24,o,OTHER
24,que,OTHER
24,devo,OTHER
24,fazer,OTHER
24,se,OTHER
24,tenho,OTHER
24,dinheiro,MONEY
24,a,OTHER
24,mais,OTHER
25,quais,OTHER
25,são,OTHER
25,os,OTHER
25,tipos,OTHER
25,de,OTHER
25,investimentos,INVEST
